mes;destino;nombre;precio_noche;rating
FEBRERO;Galicia;Vivienda en Vilanfesta;61 € por noche;4,71 (17)
FEBRERO;Galicia;Adosado en Viveiro;59 € por noche;Nuevo
FEBRERO;Galicia;Casa rural en Lugar de Calo, 60 - Vimianzo;145 € por noche;4,93 (174)
FEBRERO;Galicia;Vivienda en Troncoso;144 € por noche;4,85 (158)
FEBRERO;Galicia;Apartamento en Sanxenxo;57 € por noche, inicialmente 151 €;4,71 (7)
FEBRERO;Galicia;Vivienda en Gondomar;141 € por noche;4,91 (45)
FEBRERO;Galicia;Vivienda en Pontevedra;117 € por noche;5,0 (4)
FEBRERO;Galicia;Vivienda en O Porto de Meloxo;94 € por noche;4,9 (20)
FEBRERO;Galicia;Apartamento en Redondela;139 € por noche;5,0 (243)
FEBRERO;Galicia;Vivienda en A Coruña;209 € por noche;5,0 (5)
FEBRERO;Galicia;Apartamento en Arteixo;81 € por noche;4,81 (31)
FEBRERO;Galicia;Casa rural en Valdoviño;211 € por noche, inicialmente 283 €;5,0 (10)
FEBRERO;Galicia;Casa rural en Tourón;185 € por noche;4,99 (117)
FEBRERO;Galicia;Vivienda en Soutoxuste;127 € por noche;4,88 (50)
FEBRERO;Galicia;Casa de invitados en O Porto de Corme;129 € por noche;5,0 (31)
FEBRERO;Galicia;Apartamento en Santiago de Compostela;170 € por noche, inicialmente 186 €;4,92 (674)
FEBRERO;Galicia;Casa rural en Vedra;188 € por noche;4,91 (75)
FEBRERO;Galicia;Vivienda en Tordoia;129 € por noche;4,85 (13)
FEBRERO;Galicia;Casa rural en Negreira;129 € por noche;4,9 (30)
FEBRERO;Galicia;Adosado en Carnota;147 € por noche;4,84 (37)
FEBRERO;Galicia;Casa rural en Prado;107 € por noche;4,92 (36)
FEBRERO;Galicia;Casa rural en Galicia;180 € por noche;4,96 (23)
FEBRERO;Galicia;Vivienda en Vilaboa;243 € por noche;5,0 (28)
FEBRERO;Galicia;Vivienda en Ourense;204 € por noche;4,93 (28)
FEBRERO;Galicia;Vivienda en Viveiro;205 € por noche;4,94 (63)
